abbr,name_th
ABERDEEN,บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด
AIAM,บริษัทหลักทรัพย์จัดการกองทุน ไอร่า จำกัด
ASSETFUND,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด
BBLAM,บริษัทหลักทรัพย์จัดการกองทุน บัวหลวง จำกัด
BCAP,บริษัทหลักทรัพย์จัดการกองทุนรวม บางกอกแคปปิตอล จำกัด
DAOLINV,บริษัทหลักทรัพย์จัดการกองทุน ดาโอ จำกัด
EASTSPRING,บริษัทหลักทรัพย์จัดการกองทุน อีสท์สปริง (ประเทศไทย) จำกัด
KASSET,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด
KKPAM,บริษัทหลักทรัพย์จัดการกองทุน เกียรตินาคินภัทร จำกัด
KSAM,บริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด
KTAM,บริษัทหลักทรัพย์จัดการกองทุน กรุงไทย จำกัด (มหาชน)
KWIAM,บริษัทหลักทรัพย์จัดการกองทุน เคดับบลิวไอ จำกัด
LHFUND,บริษัทหลักทรัพย์จัดการกองทุน แลนด์ แอนด์ เฮ้าส์ จำกัด
MFC,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน)
MPAM,บริษัทหลักทรัพย์จัดการกองทุน เมอร์ชั่น พาร์ทเนอร์ จำกัด
ONEAM,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด
PAMC,บริษัทหลักทรัพย์จัดการกองทุนรวม ฟิลลิป จำกัด
PRINCIPAL,บริษัทหลักทรัพย์จัดการกองทุน พรินซิเพิล จำกัด
SAMC,บริษัทหลักทรัพย์จัดการกองทุน ซาวาคามิ (ประเทศไทย) จำกัด
SCBAM,บริษัทหลักทรัพย์จัดการกองทุน ไทยพาณิชย์ จำกัด
TALISAM,บริษัทหลักทรัพย์จัดการกองทุน ทาลิส จำกัด
TISCOASSET,บริษัทหลักทรัพย์จัดการกองทุน ทิสโก้ จำกัด
UOBAM,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ประเทศไทย) จำกัด
WISE,บริษัทหลักทรัพย์จัดการกองทุน ไวส์ จำกัด
XSpringAM,บริษัทหลักทรัพย์จัดการกองทุน เอ็กซ์สปริง จำกัด
